Day,Classroom,Time,Course,Section
Monday,15,7:00 PM - 8:30 PM,Software Engineering,BDS-3A
Monday,16,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-8A
Monday,16,10:00 AM - 11:30 AM,Machine Learning,BDS-8A
Monday,16,11:30 AM - 1:00 PM,Computer Architecture,BDS-8A
Monday,16,1:00 PM - 2:30 PM,Web Development,BCS-7A
Monday,16,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-1A
Monday,16,4:00 PM - 5:30 PM,Data Structures,BCS-2A
Monday,16,5:30 PM - 7:00 PM,Linear Algebra,BCS-1A
Monday,16,7:00 PM - 8:30 PM,Statistics,BCS-2A
Monday,17,8:30 AM - 10:00 AM,Database Systems,BDS-6A
Monday,17,10:00 AM - 11:30 AM,Operating Systems,BCS-3A
Monday,17,11:30 AM - 1:00 PM,Computer Networks,BCS-2A
Monday,17,1:00 PM - 2:30 PM,Software Engineering,BDS-4A
Monday,17,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-4A
Monday,17,4:00 PM - 5:30 PM,Machine Learning,BCS-1A
Monday,17,5:30 PM - 7:00 PM,Computer Architecture,BCS-1A
Monday,17,7:00 PM - 8:30 PM,Web Development,BDS-6A
Monday,18,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-2A
Monday,18,10:00 AM - 11:30 AM,Data Structures,BSD-1A
Monday,18,11:30 AM - 1:00 PM,Linear Algebra,BDS-8A
Monday,18,1:00 PM - 2:30 PM,Statistics,BDS-8A
Monday,18,2:30 PM - 4:00 PM,Database Systems,BDS-5A
Monday,18,4:00 PM - 5:30 PM,Operating Systems,BCS-1A
Monday,18,5:30 PM - 7:00 PM,Computer Networks,BCS-7A
Monday,18,7:00 PM - 8:30 PM,Software Engineering,BDS-5A
Monday,19,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-5A
Monday,19,10:00 AM - 11:30 AM,Machine Learning,BCS-1A
Monday,19,11:30 AM - 1:00 PM,Computer Architecture,BDS-5A
Monday,19,1:00 PM - 2:30 PM,Web Development,BDS-6A
Monday,19,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-2A
Monday,19,4:00 PM - 5:30 PM,Data Structures,BDS-5A
Monday,19,5:30 PM - 7:00 PM,Linear Algebra,BCS-6B
Monday,19,7:00 PM - 8:30 PM,Statistics,BCS-1C
Monday,20,8:30 AM - 10:00 AM,Database Systems,BDS-8A
Monday,20,10:00 AM - 11:30 AM,Operating Systems,BCS-3A
Monday,20,11:30 AM - 1:00 PM,Computer Networks,BDS-2A
Monday,20,1:00 PM - 2:30 PM,Software Engineering,BCS-7A
Monday,20,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1A
Monday,20,4:00 PM - 5:30 PM,Machine Learning,BDS-5A
Monday,20,5:30 PM - 7:00 PM,Computer Architecture,BDS-7A
Monday,20,7:00 PM - 8:30 PM,Web Development,BCS-2A
Monday,21,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-5A
Monday,21,10:00 AM - 11:30 AM,Data Structures,BCS-3A
Monday,21,11:30 AM - 1:00 PM,Linear Algebra,BDS-7A
Monday,21,1:00 PM - 2:30 PM,Statistics,BDS-8A
Monday,21,2:30 PM - 4:00 PM,Database Systems,BDS-7A
Monday,21,4:00 PM - 5:30 PM,Operating Systems,BCS-1B
Monday,21,5:30 PM - 7:00 PM,Computer Networks,BDS-2A
Monday,21,7:00 PM - 8:30 PM,Software Engineering,BCS-1A
Monday,22,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-2A
Monday,22,10:00 AM - 11:30 AM,Machine Learning,BDS-2A
Monday,22,11:30 AM - 1:00 PM,Computer Architecture,BCS-7A
Monday,22,1:00 PM - 2:30 PM,Web Development,BCS-6B
Monday,22,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-3A
Monday,22,4:00 PM - 5:30 PM,Data Structures,BDS-2A
Monday,22,5:30 PM - 7:00 PM,Linear Algebra,BDS-4A
Monday,22,7:00 PM - 8:30 PM,Statistics,BDS-3A
Monday,23,8:30 AM - 10:00 AM,Database Systems,BCS-1A
Monday,23,10:00 AM - 11:30 AM,Operating Systems,BCS-1C
Monday,23,11:30 AM - 1:00 PM,Computer Networks,BDS-4A
Monday,23,1:00 PM - 2:30 PM,Software Engineering,BCS-2A
Monday,23,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1C
Monday,23,4:00 PM - 5:30 PM,Machine Learning,BDS-6A
Monday,23,5:30 PM - 7:00 PM,Computer Architecture,BCS-1C
Monday,23,7:00 PM - 8:30 PM,Web Development,BDS-6A
Monday,24,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-1B
Monday,24,10:00 AM - 11:30 AM,Data Structures,BDS-5A
Monday,24,11:30 AM - 1:00 PM,Linear Algebra,BCS-7A
Monday,24,1:00 PM - 2:30 PM,Statistics,BDS-6A
Monday,24,2:30 PM - 4:00 PM,Database Systems,BCS-1C
Monday,24,4:00 PM - 5:30 PM,Operating Systems,BCS-2A
Monday,24,5:30 PM - 7:00 PM,Computer Networks,BCS-3A
Monday,24,7:00 PM - 8:30 PM,Software Engineering,BCS-1C
Monday,25,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-8A
Monday,25,10:00 AM - 11:30 AM,Machine Learning,BDS-2A
Monday,25,11:30 AM - 1:00 PM,Computer Architecture,BCS-3A
Monday,25,1:00 PM - 2:30 PM,Web Development,BDS-6A
Monday,25,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-7A
Monday,25,4:00 PM - 5:30 PM,Data Structures,BDS-3A
Monday,25,5:30 PM - 7:00 PM,Linear Algebra,BCS-1C
Monday,25,7:00 PM - 8:30 PM,Statistics,BDS-2A
Monday,26,8:30 AM - 10:00 AM,Database Systems,BDS-6A
Monday,26,10:00 AM - 11:30 AM,Operating Systems,BDS-5A
Monday,26,11:30 AM - 1:00 PM,Computer Networks,BCS-7A
Monday,26,1:00 PM - 2:30 PM,Software Engineering,BDS-3A
Monday,26,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1A
Monday,26,4:00 PM - 5:30 PM,Machine Learning,BCS-2A
Monday,26,5:30 PM - 7:00 PM,Computer Architecture,BDS-4A
Monday,26,7:00 PM - 8:30 PM,Web Development,BCS-7A
Monday,27,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-1C
Monday,27,10:00 AM - 11:30 AM,Data Structures,BDS-8A
Monday,27,11:30 AM - 1:00 PM,Linear Algebra,BCS-7A
Monday,27,1:00 PM - 2:30 PM,Statistics,BCS-6B
Monday,27,2:30 PM - 4:00 PM,Database Systems,BDS-7A
Monday,27,4:00 PM - 5:30 PM,Operating Systems,BDS-6A
Monday,27,5:30 PM - 7:00 PM,Computer Networks,BDS-8A
Monday,27,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Monday,28,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-6B
Monday,28,10:00 AM - 11:30 AM,Machine Learning,BDS-8A
Monday,28,11:30 AM - 1:00 PM,Computer Architecture,BDS-6A
Monday,28,1:00 PM - 2:30 PM,Web Development,BCS-7A
Monday,28,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-4A
Monday,28,4:00 PM - 5:30 PM,Data Structures,BCS-1B
Monday,28,5:30 PM - 7:00 PM,Linear Algebra,BDS-2A
Monday,28,7:00 PM - 8:30 PM,Statistics,BDS-4A
Monday,29,8:30 AM - 10:00 AM,Database Systems,BDS-6A
Monday,29,10:00 AM - 11:30 AM,Operating Systems,BDS-4A
Monday,29,11:30 AM - 1:00 PM,Computer Networks,BDS-5A
Monday,29,1:00 PM - 2:30 PM,Software Engineering,BCS-1A
Monday,29,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-1A
Monday,29,4:00 PM - 5:30 PM,Machine Learning,BCS-1B
Monday,29,5:30 PM - 7:00 PM,Computer Architecture,BDS-4A
Monday,29,7:00 PM - 8:30 PM,Web Development,BCS-1B
Monday,30,8:30 AM - 10:00 AM,Programming Fundamentals,BSD-1A
Monday,30,10:00 AM - 11:30 AM,Data Structures,BDS-3A
Monday,30,11:30 AM - 1:00 PM,Linear Algebra,BCS-1C
Monday,30,1:00 PM - 2:30 PM,Statistics,BDS-6A
Monday,30,2:30 PM - 4:00 PM,Database Systems,BCS-1A
Monday,30,4:00 PM - 5:30 PM,Operating Systems,BDS-4A
Monday,30,5:30 PM - 7:00 PM,Computer Networks,BCS-2A
Monday,30,7:00 PM - 8:30 PM,Software Engineering,BCS-7A
Monday,31,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-3A
Monday,31,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Monday,31,11:30 AM - 1:00 PM,Computer Architecture,BCS-6B
Monday,31,1:00 PM - 2:30 PM,Web Development,BCS-1C
Monday,31,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-6A
Monday,31,4:00 PM - 5:30 PM,Data Structures,BDS-6A
Monday,31,5:30 PM - 7:00 PM,Linear Algebra,BDS-4A
Monday,31,7:00 PM - 8:30 PM,Statistics,BCS-1C
Monday,32,8:30 AM - 10:00 AM,Database Systems,BDS-7A
Monday,32,10:00 AM - 11:30 AM,Operating Systems,BCS-3A
Monday,32,11:30 AM - 1:00 PM,Computer Networks,BCS-3A
Monday,32,1:00 PM - 2:30 PM,Software Engineering,BCS-1A
Monday,32,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-7A
Monday,32,4:00 PM - 5:30 PM,Machine Learning,BDS-2A
Monday,32,5:30 PM - 7:00 PM,Computer Architecture,BCS-7A
Monday,32,7:00 PM - 8:30 PM,Web Development,BDS-2A
Monday,33,8:30 AM - 10:00 AM,Programming Fundamentals,BDS-4A
Monday,33,10:00 AM - 11:30 AM,Data Structures,BDS-8A
Monday,33,11:30 AM - 1:00 PM,Linear Algebra,BDS-3A
Monday,33,1:00 PM - 2:30 PM,Statistics,BDS-8A
Monday,33,2:30 PM - 4:00 PM,Database Systems,BCS-1B
Monday,33,4:00 PM - 5:30 PM,Operating Systems,BCS-1B
Monday,33,5:30 PM - 7:00 PM,Computer Networks,BDS-8A
Monday,33,7:00 PM - 8:30 PM,Software Engineering,BDS-2A
Monday,34,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-6B
Monday,34,10:00 AM - 11:30 AM,Machine Learning,BSD-1A
Monday,34,11:30 AM - 1:00 PM,Computer Architecture,BCS-1C
Monday,34,1:00 PM - 2:30 PM,Web Development,BCS-6B
Monday,34,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-4A
Monday,34,4:00 PM - 5:30 PM,Data Structures,BCS-3A
Monday,34,5:30 PM - 7:00 PM,Linear Algebra,BDS-4A
Monday,34,7:00 PM - 8:30 PM,Statistics,BCS-3A
Monday,35,8:30 AM - 10:00 AM,Database Systems,BDS-6A
Monday,35,10:00 AM - 11:30 AM,Operating Systems,BCS-1B
Monday,35,11:30 AM - 1:00 PM,Computer Networks,BCS-2A
Monday,35,1:00 PM - 2:30 PM,Software Engineering,BCS-7A
Monday,35,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-3A
Monday,35,4:00 PM - 5:30 PM,Machine Learning,BDS-7A
Monday,35,5:30 PM - 7:00 PM,Computer Architecture,BCS-1C
Monday,35,7:00 PM - 8:30 PM,Web Development,BDS-8A
Monday,36,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-2A
Monday,36,10:00 AM - 11:30 AM,Data Structures,BCS-7A
Monday,36,11:30 AM - 1:00 PM,Linear Algebra,BDS-3A
Monday,36,1:00 PM - 2:30 PM,Statistics,BCS-3A
Monday,36,2:30 PM - 4:00 PM,Database Systems,BSD-1A
Monday,36,4:00 PM - 5:30 PM,Operating Systems,BCS-1C
Monday,36,5:30 PM - 7:00 PM,Computer Networks,BDS-8A
Monday,36,7:00 PM - 8:30 PM,Software Engineering,BDS-7A
Monday,37,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-8A
Monday,37,10:00 AM - 11:30 AM,Machine Learning,BCS-2A
Monday,37,11:30 AM - 1:00 PM,Computer Architecture,BDS-3A
Monday,37,1:00 PM - 2:30 PM,Web Development,BCS-1C
Monday,37,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-1A
Monday,37,4:00 PM - 5:30 PM,Data Structures,BDS-3A
Monday,37,5:30 PM - 7:00 PM,Linear Algebra,BCS-2A
Monday,37,7:00 PM - 8:30 PM,Statistics,BDS-4A
Monday,38,8:30 AM - 10:00 AM,Database Systems,BDS-2A
Monday,38,10:00 AM - 11:30 AM,Operating Systems,BSD-1A
Monday,38,11:30 AM - 1:00 PM,Computer Networks,BDS-4A
Monday,38,1:00 PM - 2:30 PM,Software Engineering,BCS-1B
Monday,38,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-5A
Monday,38,4:00 PM - 5:30 PM,Machine Learning,BDS-6A
Monday,38,5:30 PM - 7:00 PM,Computer Architecture,BDS-3A
Monday,38,7:00 PM - 8:30 PM,Web Development,BDS-5A
Monday,39,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-6B
Monday,39,10:00 AM - 11:30 AM,Data Structures,BCS-7A
Monday,39,11:30 AM - 1:00 PM,Linear Algebra,BDS-8A
Monday,39,1:00 PM - 2:30 PM,Statistics,BCS-2A
Monday,39,2:30 PM - 4:00 PM,Database Systems,BCS-7A
Monday,39,4:00 PM - 5:30 PM,Operating Systems,BDS-7A
Monday,39,5:30 PM - 7:00 PM,Computer Networks,BCS-1B
Monday,39,7:00 PM - 8:30 PM,Software Engineering,BCS-2A
Monday,40,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-3A
Monday,40,10:00 AM - 11:30 AM,Machine Learning,BCS-7A
Monday,40,11:30 AM - 1:00 PM,Computer Architecture,BCS-1B
Monday,40,1:00 PM - 2:30 PM,Web Development,BCS-2A
Monday,40,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-4A
Monday,40,4:00 PM - 5:30 PM,Data Structures,BCS-1C
Monday,40,5:30 PM - 7:00 PM,Linear Algebra,BCS-3A
Monday,40,7:00 PM - 8:30 PM,Statistics,BDS-6A
Monday,41,8:30 AM - 10:00 AM,Database Systems,BDS-8A
Monday,41,10:00 AM - 11:30 AM,Operating Systems,BCS-2A
Monday,41,11:30 AM - 1:00 PM,Computer Networks,BCS-6B
Monday,41,1:00 PM - 2:30 PM,Software Engineering,BDS-2A
Monday,41,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-2A
Monday,41,4:00 PM - 5:30 PM,Machine Learning,BDS-7A
Monday,41,5:30 PM - 7:00 PM,Computer Architecture,BDS-2A
Monday,41,7:00 PM - 8:30 PM,Web Development,BCS-7A
Monday,42,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-2A
Monday,42,10:00 AM - 11:30 AM,Data Structures,BCS-7A
Monday,42,11:30 AM - 1:00 PM,Linear Algebra,BCS-3A
Monday,42,1:00 PM - 2:30 PM,Statistics,BDS-6A
Monday,42,2:30 PM - 4:00 PM,Database Systems,BDS-7A
Monday,42,4:00 PM - 5:30 PM,Operating Systems,BCS-1C
Monday,42,5:30 PM - 7:00 PM,Computer Networks,BDS-5A
Monday,42,7:00 PM - 8:30 PM,Software Engineering,BDS-8A
Monday,43,8:30 AM - 10:00 AM,Artificial Intelligence,BCS-3A
Monday,43,10:00 AM - 11:30 AM,Machine Learning,BDS-7A
Monday,43,11:30 AM - 1:00 PM,Computer Architecture,BCS-1C
Monday,43,1:00 PM - 2:30 PM,Web Development,BSD-1A
Monday,43,2:30 PM - 4:00 PM,Programming Fundamentals,BCS-6B
Monday,43,4:00 PM - 5:30 PM,Data Structures,BSD-1A
Monday,43,5:30 PM - 7:00 PM,Linear Algebra,BCS-1A
Monday,43,7:00 PM - 8:30 PM,Statistics,BCS-3A
Monday,44,8:30 AM - 10:00 AM,Database Systems,BDS-7A
Monday,44,10:00 AM - 11:30 AM,Operating Systems,BCS-6B
Monday,44,11:30 AM - 1:00 PM,Computer Networks,BCS-7A
Monday,44,1:00 PM - 2:30 PM,Software Engineering,BDS-5A
Monday,44,2:30 PM - 4:00 PM,Artificial Intelligence,BCS-7A
Monday,44,4:00 PM - 5:30 PM,Machine Learning,BDS-7A
Monday,44,5:30 PM - 7:00 PM,Computer Architecture,BDS-3A
Monday,44,7:00 PM - 8:30 PM,Web Development,BCS-1A
Monday,45,8:30 AM - 10:00 AM,Programming Fundamentals,BCS-6B
Monday,45,10:00 AM - 11:30 AM,Data Structures,BDS-5A
Monday,45,11:30 AM - 1:00 PM,Linear Algebra,BDS-2A
Monday,45,1:00 PM - 2:30 PM,Statistics,BDS-2A
Monday,45,2:30 PM - 4:00 PM,Database Systems,BCS-3A
Monday,45,4:00 PM - 5:30 PM,Operating Systems,BDS-5A
Monday,45,5:30 PM - 7:00 PM,Computer Networks,BCS-6B
Monday,45,7:00 PM - 8:30 PM,Software Engineering,BCS-6B
Monday,46,8:30 AM - 10:00 AM,Artificial Intelligence,BDS-8A
Monday,46,10:00 AM - 11:30 AM,Machine Learning,BCS-2A
Monday,46,11:30 AM - 1:00 PM,Computer Architecture,BCS-2A
Monday,46,1:00 PM - 2:30 PM,Web Development,BCS-6B
Monday,46,2:30 PM - 4:00 PM,Programming Fundamentals,BDS-4A
Monday,46,4:00 PM - 5:30 PM,Data Structures,BCS-2A
Monday,46,5:30 PM - 7:00 PM,Linear Algebra,BDS-2A
Monday,46,7:00 PM - 8:30 PM,Statistics,BDS-3A
Monday,47,8:30 AM - 10:00 AM,Database Systems,BCS-2A
Monday,47,10:00 AM - 11:30 AM,Operating Systems,BSD-1A
Monday,47,11:30 AM - 1:00 PM,Computer Networks,BSD-1A
Monday,47,1:00 PM - 2:30 PM,Software Engineering,BSD-1A
Monday,47,2:30 PM - 4:00 PM,Artificial Intelligence,BDS-7A
Monday,47,4:00 PM - 5:30 PM,Machine Learning,BSD-1A
Monday,47,5:30 PM - 7:00 PM,Computer Architecture,BCS-1B
Monday,47,7:00 PM - 8:30 PM,Web Development,BCS-7A
Monday,48,8:30 AM - 10:00 AM,Programming Fundamentals Lab,BCS-1B
Monday,48,10:00 AM - 11:30 AM,Data Structures Lab,BCS-3A
Monday,48,11:30 AM - 1:00 PM,Database Systems Lab,BDS-5A
Monday,48,1:00 PM - 2:30 PM,Operating Systems Lab,BDS-3A
Monday,48,2:30 PM - 4:00 PM,AI Lab,BCS-1C
Monday,48,4:00 PM - 5:30 PM,ML Lab,BDS-5A
Monday,48,5:30 PM - 7:00 PM,Networks Lab,BCS-2A
Monday,48,7:00 PM - 8:30 PM,Web Dev Lab,BDS-2A
Monday,49,8:30 AM - 10:00 AM,Programming Fundamentals Lab,BDS-5A
Monday,49,10:00 AM - 11:30 AM,Data Structures Lab,BCS-1B
Monday,49,11:30 AM - 1:00 PM,Database Systems Lab,BDS-2A
Monday,49,1:00 PM - 2:30 PM,Operating Systems Lab,BCS-2A
Monday,49,2:30 PM - 4:00 PM,AI Lab,BDS-3A
